date,habit_name,completed
2024-07-10,exercise,True
2024-07-10,read,True
2024-07-10,drink_water,False
2024-07-11,exercise,False
2024-07-11,read,True
2024-07-11,drink_water,True
2024-07-12,exercise,True
2024-07-12,read,False
2024-07-12,drink_water,True
2024-07-13,exercise,True
2024-07-13,read,True
2024-07-13,drink_water,True
2024-07-14,exercise,False
2024-07-14,read,True
2024-07-14,drink_water,False
2024-07-15,exercise,True
2024-07-15,read,True
2024-07-15,drink_water,True
2024-07-16,exercise,True
2024-07-16,read,False
2024-07-16,drink_water,True
2024-07-17,exercise,False
2024-07-17,read,True
2024-07-17,drink_water,True
2024-07-18,exercise,True
2024-07-18,read,True
2024-07-18,drink_water,False
2024-07-19,exercise,True
2024-07-19,read,False
2024-07-19,drink_water,True
2024-07-20,exercise,True
2024-07-20,read,True
2024-07-20,drink_water,True